Compound_name,Extracted_name,Molecular_weight,Type,Conductivity_in_Siemens_per_cm
LiMnPO4,"[{'Li': '1.0', 'Mn': '1.0', 'P': '1.0', 'O': '4.0'}]",156.848,Cath,1e-09
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",459.083,Anod,1e-13
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",97.871,Cath,3.0
V2O5,"[{'V': '2.0', 'O': '5.0'}]",181.878,Cath,0.001
Na2MnFe(CN)6,"[{'C': '6.0', 'N': '6.0', 'Na': '2.0', 'Mn': '1.0', 'Fe': '1.0'}]",312.871,Cath,0.0054
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",182.6895,Cath,0.0068
NbN,"[{'Nb': '1.0', 'N': '1.0'}]",106.913,Anod,9.6
VO2,"[{'V': '1.0', 'O': '2.0'}]",82.9395,Cath,0.00131
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",70.937,Anod,1e-08
LiNi0.5Co0.2Mn0.3O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",96.5525,Cath,0.001
Sr2MgMoO6âÎ´,"[{'Sr': '2.0', 'Mg': '1.0', 'Mo': '1.0', 'O': '6.0'}]",391.489,Anod,92.0
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",157.755,Cath,5.0
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",86.936,Anod,1e-08
Li2FeSiO4,"[{'Li': '2.0', 'Fe': '1.0', 'Si': '1.0', 'O': '4.0'}]",161.806,Cath,6e-14
LiCoVO4,"[{'Li': '1.0', 'Co': '1.0', 'V': '1.0', 'O': '4.0'}]",180.8105,Cath,1.16e-05
NiO,"[{'Ni': '1.0', 'O': '1.0'}]",74.692,Cath,0.01
NaCrO2,"[{'Na': '1.0', 'Cr': '1.0', 'O': '2.0'}]",106.984,Cath,0.47
BCP,"[{'B': '1.0', 'C': '1.0', 'P': '1.0'}]",53.795,Elec,0.001
Fe9S10 @ C,"[{'Fe': '9.0', 'S': '10.0'}, {'C': '1.0'}]",835.216,Anod,0.00122
Nb2O5,"[{'Nb': '2.0', 'O': '5.0'}]",265.807,Anod,3e-06
TiO2,"[{'Ti': '1.0', 'O': '2.0'}]",79.865,Anod,1e-12
SnS,"[{'Sn': '1.0', 'S': '1.0'}]",150.76999999999998,Anod,0.0083
